"Entry type","Autor einheitl.","Vollständiger Titel","Druckjahr","Verlagsort","Link zum Digitalisat"
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte Frantzösische Grammatica, Oder Sprach-Lehr","1682","Hanau",""
"OLD","Duez, Nathanael","Grammatica renovata","1683","Frankfurt a. M.","https://books.google.de/books?id=ziuXuuTTqisC&hl=de&pg=PP5#v=onepage&q&f=false"
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte frantzösische Grammatica","1683","Frankfurt a. M., Hanau?","http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10587062-9"
"OLD","Duez, Nathanael","Dictionnaire françois-allemand-latin","1684","Genf",""
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte frantzösische Grammatica","1685","Frankfurt a. M., Hanau?","https://nbn-resolving.de/urn:nbn:de:gbv:3:1-539749"
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte französische Grammatica","1690","Frankfurt a. M., Hanau?","http://digital.bib-bvb.de/view/bvb_mets/viewer.0.6.5.jsp?folder_id=0&dvs=1750324348245~73&pid=13202735&locale=de&usePid1=true&usePid2=true"
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte frantzösische Grammatica","1690","Hanau","http://nbn-resolving.de/urn:nbn:de:bvb:384-uba005045-0"
"OLD","Duez, Nathanael","Frantzösische Grammatica","1692","Frankfurt a. M.","https://archive.org/details/bub_gb_ZmcynF0RB3IC"
"OLD","Duez, Nathanael","Le vrai et parfait guidon de la langue françoise","1692","Köln","http://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10587067-6"
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte frantzösische Grammatica","1693","Colmar",""
"OLD","Duez, Nathanael","Dictionnaire françois-allemand-latin … Teutsch-frantzösisch-lateinisch Dictionarium","1693","Köln","https://www.digitale-sammlungen.de/de/view/bsb10779615?page=2,3"
"OLD","Duez, Nathanael","Neuvermehrte und verbesserte französische Grammatica","1694","Frankfurt a. M., Hanau","https://opac.lbs-braunschweig.gbv.de/DB=2/LNG=DU/SID=82508532-1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=nathanael+duez+1694"
"OLD","Duez, Nathanael","Grammaire françoise","1695","Köln","https://digi.ub.uni-heidelberg.de/diglit/duez1695"
"OLD","Duez, Nathanael","Grammaire françoise","1696","Köln","https://docnum.unistra.fr/digital/collection/coll21/id/3935/rec/1"
"OLD","Duez, Nathanael","Frantzösische Grammatica","1699","Köln","http://nbn-resolving.de/urn:nbn:de:gbv:23-drucke/xb-60244"
"OLD","Duez, Nathanael","Le vrai et parfait guidon de la langue françoise","1699","Köln","https://digital.slub-dresden.de/werkansicht/dlf/62586/1/"
"OLD","Duez, Nathanael","Grammaire Choisie","1729","Colmar","https://digi.ub.uni-heidelberg.de/diglit/duez1729/0001/image,info,thumbs"
"OLD","Garnier, Philippe","Gemmelae Gallicae Linguae : Cuivis nationum generi Gallias adeunti quam prime necessariae","1610","Strassburg","https://books.google.cz/books?id=UPvXBcDBGPUC&hl=de&pg=PP1#v=onepage&q&f=false"
"OLD","Garnier, Philippe","Gemmulae gallicae linguae latine, gallice et germanice ita adornata, ut exinde facili ac jucundo quopiam labore lingua gallica addisci queat, nunc secundum emissae et singulari auctoris studio iterum revisae ac infinitis locis auctae emendataeque","1616","Strassburg","http://resolver.sub.uni-goettingen.de/purl?PPN71922134X"
"OLD","Garnier, Philippe","Gemmulae Gallicae Linguae : Latine, Gallice, Italice & Germanice, ita adornatae, Ut exinde facili ac iucundo quopiam labore lingua Gallica & Italica addisci queant","1620","Strassburg","https://opendata2.uni-halle.de//handle/1516514412012/9736"
"OLD","Garnier, Philippe","Gemmulae gallicae linguae, latine, gallice, italice & germanice ita adornatae : ut exinde facili ac jucundo quopiam labore lingua gallica et italica addisci queant, nunc quartum emissae, auctae emendataeque","1622","Strassburg","https://digital.slub-dresden.de/werkansicht/dlf/66923/3#"
"OLD","Garnier, Philippe","Gemmulae Gallicae Linguae : Latine & Germanice ita adornatae, Ut exinde facili ac iucundo quopiam labore lingua Gallica addisci queat
Accessit insuper ad hanc Quintam Editionem nova genuini Idiomatis Italici versio, ut & huius linguae Studiosis affatim satisfieri possit","1625","Strassburg","https://books.google.ch/books?id=_yMVAAAAQAAJ&hl=de&pg=PP3#v=onepage&q&f=false"
