"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TGF9NQZF","journalArticle","2010","Bruzzone, Barbara","Sui primi manuali didattici per l’insegnamento del tedesco come lingua straniera nella Venezia del xv secolo: La tradizione di Giorgio da Norimberga","Recherches","","1968-035X, 2803-5992","10.4000/cher.8834","http://journals.openedition.org/cher/8834","","2010-12-01","2026-06-03 14:37:31","2026-06-03T14:37:31Z","2022-02-07 09:10:38","29-46","","","5","","cher","Sui primi manuali didattici per l’insegnamento del tedesco come lingua straniera nella Venezia del xv secolo","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDCZBER9","book","2002","Glück, Helmut; Klatte, Holger; Spacilová, Libuse; Spácil, Vladimír","Deutsche Sprachbücher in Böhmen und Mähren vom 15. Jahrhundert bis 1918: eine teilkommentierte Bibliographie","","978-3-11-017504-2","","","","","2002","2026-06-03 14:36:22","2026-06-03T14:36:22Z","","","xxxii+290","","","","","Deutsche Sprachbücher in Böhmen und Mähren vom 15. Jahrhundert bis 1918","Die Geschichte des Deutschen als Fremdsprache","2","","","De Gruyter","Berlin, New York","","","","","","Library Catalog - gso.gbv.de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8MRVKLB","journalArticle","2008","Bruña Cuevas, Manuel","La producción lexicográfica con el español y el francés durante los siglos XVI a XIX","Philologia Hispalensis","","11320265, 22538321","10.12795/PH.2008.v22.i01.02","https://institucional.us.es/revistas/philologia/22/02%20Bruna.pdf","","2008","2026-06-03 14:34:41","2026-06-03T14:34:41Z","2022-02-17 10:22:12","37-111","","","22","","PH","","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2MQ4X8P2","bookSection","2014","Behr, Martin","‘Gott grüss die Kunst!‘ Sprachliche Aspekte der Wanderbewegungen im frühen Buchdruckgewerbe","Sprachliche Aspekte des Reisens in Mittelalter und Früher Neuzeit","978-3-447-10050-2","","","","","2014","2026-06-03 14:26:10","2026-06-03T14:26:10Z","","75-98","","","","","","","Fremdsprachen in Geschichte und Gegenwart","13","","","Harrassowitz","Wiesbaden","","","","","","Library Catalog - gso.gbv.de","FU UB 18/2014/5161","","","","","","","Schulz, Matthias; Hinkelmanns, Peter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LIBBC9M","book","2003","Becker, Monika","<i>Familiar dialogues in Englyssh and Frenche</i>: Sprachliche Interaktion und ihre Vermittlung in der frühen Neuzeit","","978-3-88476-563-0","","","","","2003","2026-06-03 14:25:48","2026-06-03T14:25:48Z","","","377","","","","","Familiar dialogues in Englyssh and Frenche","Fokus","26","","","Wissenschaftlicher Verlag","Trier","ger eng","","","","","Stabi (Potsdamer Straße) Berlin","1A486089","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"67KKXZNA","book","2002","Koch, Kristine","Deutsch als Fremdsprache im Rußland des 18. Jahrhunderts: ein Beitrag zur Geschichte des Fremdsprachenlernens in Europa und zu den deutsch-russischen Beziehungen","","978-3-11-017503-5","","","","","2002","2026-06-03 11:55:54","2026-06-03T11:55:54Z","","","xviii+456","","","","","Deutsch als Fremdsprache im Rußland des 18. Jahrhunderts","Die Geschichte des Deutschen als Fremdsprache","1","","","De Gruyter","Berlin, New York","","","","","","Library Catalog - gso.gbv.de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXEQNB9L","book","2002","","Heilige und profane Sprachen: die Anfänge des Fremdsprachenunterrichts im westlichen Europa","","978-3-447-04632-9","","","","","2002","2026-06-03 08:51:43","2026-06-03T08:51:43Z","","","","","","","","Heilige und profane Sprachen","Wolfenbütteler Forschungen","98","","","Harrassowitz","Wiesbaden","ger eng fre","","","","","BnF ISBN","","","","","","","","Hüllen, Werner; Klippel, Friederike","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFFQ3QFM","book","2007","Corvo Sánchez, María José","Los libros de lenguas de Juan Angel de Zumarán: la obra de un maestro e interprete de lenguas español entre los alemanes del siglo XVII","","978-3-631-55753-2","","","","","2007","2026-05-27 10:34:01","2026-05-27T10:34:01Z","","","155","","","","","Los libros de lenguas de Juan Angel de Zumarán","Sabest","12","","","Lang","Frankfurt am Main","","","","","","Library of Congress ISBN","Stabi 1 A 643387, HU ZwBib Fremdspr. IM 1495 C832 L6","","","","","inBib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"688X7V85","book","2001","","""Gebrauchsgrammatik"" und ""Gelehrte Grammatik"": französische Sprachlehre und Grammatikographie zwischen Maas und Rhein vom 16. bis zum 19. Jahrhundert: Romanistisches Kolloquium XV","","978-3-8233-5120-7","","","","","2001","2026-05-27 09:46:39","2026-05-27T09:46:39Z","","","360","","","","","""Gebrauchsgrammatik"" und ""Gelehrte Grammatik""","Tübinger Beiträge zur Linguistik","454","","","Narr","Tübingen","gerita","","","","","Library of Congress ISBN","Stabi 1 A 467792, FU PhilBib (2) Ea 4/14/15*","OCLC: ocm47680447","","","","inBib","","Dahmen, Wolfgang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95TKFV6P","book","2003","Waentig, Peter W.","Colloquia et dictionariolum octo linguarum : tedesco protomoderno : edizione e commento della versione del 1656","","978-88-491-1433-1","","","","","2003","2026-05-27 09:07:39","2026-05-27T09:07:39Z","","","310","","","","","Colloquia et dictionariolum octo linguarum","Heuresis : Strumenti","38","","","CLUEB","Bologna","","","","","","Library Catalog - stabikat.de","Stabi Online, 1 A 582487","","","","","inBib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SB6AXDVK","bookSection","2006","Kaltz, Barbara","Zu den Anfängen des DaF-Unterrichts in Frankreich","Ein Franke in Venedig: Das Sprachlehrbuch des Georg von Nürnberg (1424) und seine Folgen","","","","","","2006","2026-05-26 16:23:59","2026-05-26T16:23:59Z","","77-86","","","","","","","Fremdsprachen in Geschichte und Gegenwart","3","","","Harrassowitz","Wiesbaden","","","","","","Stabi","","","","","","Frankreich","","Glück, Helmut; Morcinek, Bettina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
